"datasetid","subject","block","trial","congruency","between","within","accuracy","rt"
51,1,1,4,1,NA,1,1,0.586
51,1,1,5,1,NA,1,1,0.639
51,1,1,6,1,NA,1,1,0.568
51,1,1,7,1,NA,1,1,0.858
51,1,1,8,1,NA,1,1,0.821
51,1,1,9,2,NA,1,1,0.993
51,1,1,10,1,NA,1,1,0.701
51,1,1,11,1,NA,1,1,0.528
51,1,1,12,1,NA,1,1,0.779
51,1,1,13,1,NA,1,1,0.58
51,1,1,14,2,NA,1,1,0.932
51,1,1,15,2,NA,1,1,1.142
51,1,1,16,2,NA,1,0,1.273
51,1,1,17,2,NA,1,1,0.849
51,1,1,18,1,NA,1,0,1.022
51,1,1,19,1,NA,1,1,0.624
51,1,1,20,2,NA,1,1,0.936
51,1,1,21,2,NA,1,1,0.85
51,1,1,22,2,NA,1,1,0.914
51,1,1,23,1,NA,1,1,0.71
51,1,1,24,1,NA,1,0,1.158
51,1,1,25,1,NA,1,1,0.623
51,1,1,26,2,NA,1,1,0.831
51,1,1,27,2,NA,1,1,0.74
51,1,1,28,1,NA,1,1,0.945
51,1,1,29,2,NA,1,1,0.753
51,1,1,30,1,NA,1,1,0.692
51,1,1,31,1,NA,1,1,0.755
51,1,1,32,2,NA,1,1,0.759
51,1,1,33,1,NA,1,1,0.638
51,1,1,35,2,NA,1,1,0.925
51,1,1,36,2,NA,1,1,0.838
51,1,1,37,2,NA,1,1,0.867
51,1,1,39,1,NA,1,1,0.938
51,1,1,40,2,NA,1,1,0.932
51,1,1,41,2,NA,1,1,1.279
51,1,1,43,1,NA,1,1,0.753
51,1,1,44,1,NA,1,1,0.571
51,1,1,45,2,NA,1,1,0.734
51,1,1,46,1,NA,1,1,0.625
51,1,1,47,1,NA,1,1,0.691
51,1,1,48,1,NA,1,1,0.472
51,1,1,49,1,NA,1,1,0.595
51,1,1,50,1,NA,1,1,0.598
51,1,1,51,2,NA,1,1,0.693
51,1,1,52,2,NA,1,1,0.709
51,1,1,53,1,NA,1,1,0.584
51,1,1,54,1,NA,1,1,0.839
51,1,1,55,2,NA,1,0,0.702
51,1,1,56,2,NA,1,1,0.538
51,1,1,57,2,NA,1,1,0.55
51,1,1,58,2,NA,1,0,0.641
51,1,1,59,2,NA,1,1,0.627
51,1,1,60,1,NA,1,1,0.674
51,1,1,61,2,NA,1,1,0.78
51,1,1,62,1,NA,1,1,0.622
51,1,1,63,1,NA,1,1,0.546
51,1,1,64,2,NA,1,1,0.674
51,1,1,65,2,NA,1,1,0.771
51,1,1,66,2,NA,1,1,0.851
51,1,1,67,2,NA,1,1,1.059
51,1,1,68,2,NA,1,1,0.951
51,1,1,69,2,NA,1,0,0.926
51,1,1,70,2,NA,1,1,1.03
51,1,1,71,1,NA,1,1,0.666
51,1,1,72,2,NA,1,1,0.522
51,1,1,73,1,NA,1,1,0.528
51,1,1,74,1,NA,1,1,0.546
51,1,1,75,2,NA,1,1,0.771
51,1,1,76,1,NA,1,1,0.978
51,1,1,77,1,NA,1,1,0.839
51,1,1,78,1,NA,1,1,0.509
51,1,1,79,2,NA,1,1,0.573
51,1,1,80,2,NA,1,0,0.759
51,1,1,81,2,NA,1,1,0.698
51,1,1,82,2,NA,1,1,0.386
51,1,1,83,1,NA,1,1,0.52
51,1,1,84,2,NA,1,0,0.568
51,1,1,85,2,NA,1,1,0.529
51,1,1,86,2,NA,1,0,0.754
51,1,1,87,2,NA,1,1,0.586
51,1,1,88,2,NA,1,1,1.113
51,1,1,89,2,NA,1,1,1.364
51,1,1,90,1,NA,1,1,0.877
51,1,1,92,1,NA,1,1,1.305
51,1,1,93,1,NA,1,1,0.697
51,1,1,95,1,NA,1,1,0.763
51,1,1,96,2,NA,1,1,0.996
51,2,1,4,2,NA,1,1,0.682
51,2,1,5,2,NA,1,1,0.821
51,2,1,6,1,NA,1,1,0.552
51,2,1,7,2,NA,1,1,0.532
51,2,1,8,2,NA,1,1,0.942
51,2,1,9,1,NA,1,1,0.772
51,2,1,10,1,NA,1,1,0.612
51,2,1,11,2,NA,1,1,1.011
51,2,1,12,1,NA,1,1,1.434
51,2,1,13,1,NA,1,1,0.591
51,2,1,14,2,NA,1,1,0.942
51,2,1,15,1,NA,1,1,0.598
51,2,1,16,1,NA,1,1,0.56
51,2,1,17,1,NA,1,1,0.942
51,2,1,18,1,NA,1,1,0.592
51,2,1,19,1,NA,1,1,0.422
51,2,1,20,1,NA,1,1,0.46
51,2,1,21,1,NA,1,1,0.51
51,2,1,22,1,NA,1,1,1.021
51,2,1,23,2,NA,1,1,0.602
51,2,1,24,2,NA,1,1,1.041
51,2,1,25,2,NA,1,1,0.71
51,2,1,26,2,NA,1,1,0.916
51,2,1,27,2,NA,1,1,0.732
51,2,1,28,1,NA,1,1,0.631
51,2,1,29,1,NA,1,1,0.721
51,2,1,30,2,NA,1,1,0.779
51,2,1,31,2,NA,1,1,0.962
51,2,1,32,1,NA,1,1,0.68
51,2,1,33,2,NA,1,1,0.781
51,2,1,34,1,NA,1,1,0.613
51,2,1,36,1,NA,1,1,0.722
51,2,1,37,1,NA,1,1,0.582
51,2,1,38,1,NA,1,1,0.459
51,2,1,39,2,NA,1,1,0.882
51,2,1,40,2,NA,1,1,0.585
51,2,1,41,1,NA,1,1,0.562
51,2,1,42,2,NA,1,1,0.953
51,2,1,43,1,NA,1,1,0.552
51,2,1,44,1,NA,1,1,0.471
51,2,1,45,1,NA,1,0,0.632
51,2,1,46,1,NA,1,1,0.78
51,2,1,47,2,NA,1,1,0.923
51,2,1,48,2,NA,1,1,0.931
51,2,1,49,2,NA,1,1,0.502
51,2,1,50,1,NA,1,1,0.834
51,2,1,51,1,NA,1,1,0.942
51,2,1,52,1,NA,1,1,0.66
51,2,1,53,2,NA,1,1,0.781
51,2,1,54,2,NA,1,1,1.032
51,2,1,55,2,NA,1,1,0.792
51,2,1,56,1,NA,1,1,0.66
51,2,1,57,2,NA,1,1,0.94
51,2,1,58,2,NA,1,1,0.851
51,2,1,59,1,NA,1,1,0.654
51,2,1,60,1,NA,1,1,0.612
51,2,1,61,2,NA,1,1,0.74
51,2,1,62,2,NA,1,1,0.66
51,2,1,63,2,NA,1,1,0.991
51,2,1,64,2,NA,1,1,0.921
51,2,1,65,2,NA,1,1,0.732
51,2,1,66,1,NA,1,1,0.642
51,2,1,67,1,NA,1,1,0.625
51,2,1,68,1,NA,1,1,0.643
51,2,1,69,2,NA,1,1,0.592
51,2,1,70,1,NA,1,1,0.662
51,2,1,71,2,NA,1,1,0.823
51,2,1,72,2,NA,1,1,0.66
51,2,1,73,2,NA,1,1,0.831
51,2,1,74,2,NA,1,1,0.702
51,2,1,75,1,NA,1,1,0.712
51,2,1,76,2,NA,1,1,0.672
51,2,1,77,2,NA,1,1,0.706
51,2,1,78,1,NA,1,1,0.613
51,2,1,79,2,NA,1,1,0.744
51,2,1,80,2,NA,1,1,0.822
51,2,1,81,1,NA,1,1,1.034
51,2,1,82,2,NA,1,1,0.78
51,2,1,83,2,NA,1,1,0.72
51,2,1,84,1,NA,1,1,0.786
51,2,1,85,1,NA,1,1,0.572
51,2,1,86,2,NA,1,1,0.58
51,2,1,87,2,NA,1,1,0.723
51,2,1,88,2,NA,1,1,0.872
51,2,1,89,2,NA,1,1,0.698
51,2,1,90,1,NA,1,1,0.63
51,2,1,91,1,NA,1,1,0.613
51,2,1,92,1,NA,1,1,0.673
51,2,1,93,2,NA,1,1,0.782
51,2,1,94,1,NA,1,1,0.742
51,2,1,95,1,NA,1,1,0.584
51,2,1,96,1,NA,1,1,0.641
51,3,1,4,1,NA,1,1,0.42
51,3,1,5,2,NA,1,1,0.62
51,3,1,6,1,NA,1,1,0.507
51,3,1,7,2,NA,1,1,0.617
51,3,1,8,2,NA,1,1,0.662
51,3,1,9,1,NA,1,1,1.491
51,3,1,10,2,NA,1,1,0.714
51,3,1,11,2,NA,1,1,1.396
51,3,1,12,1,NA,1,1,0.637
51,3,1,13,1,NA,1,1,0.475
51,3,1,14,1,NA,1,1,0.383
51,3,1,15,1,NA,1,1,0.854
51,3,1,16,2,NA,1,1,0.598
51,3,1,17,2,NA,1,1,0.506
51,3,1,18,1,NA,1,1,0.485
51,3,1,19,2,NA,1,1,0.552
51,3,1,20,1,NA,1,1,0.651
51,3,1,21,2,NA,1,1,0.645
51,3,1,22,1,NA,1,1,0.544
51,3,1,23,2,NA,1,1,0.811
51,3,1,24,2,NA,1,1,0.862
51,3,1,25,1,NA,1,1,0.486
51,3,1,26,1,NA,1,1,0.503
51,3,1,27,2,NA,1,1,0.538
51,3,1,28,1,NA,1,1,0.506
