"publication_id","publication_code","study_id","group_description","between_id","observation_id","dataset_id","subject","block","trial","condition_id","congruency","accuracy","rt"
5,"pratte_2010_exploring",26,"University students (US)",26,712558,30,4694,1,4,36,1,1,0.891266
5,"pratte_2010_exploring",26,"University students (US)",26,712559,30,4694,1,5,36,2,1,1.576013
5,"pratte_2010_exploring",26,"University students (US)",26,712560,30,4694,1,6,36,2,0,1.056568
5,"pratte_2010_exploring",26,"University students (US)",26,712561,30,4694,1,7,36,1,1,1.906415
5,"pratte_2010_exploring",26,"University students (US)",26,712562,30,4694,1,8,36,1,1,1.010666
5,"pratte_2010_exploring",26,"University students (US)",26,712563,30,4694,1,9,36,2,1,1.241709
5,"pratte_2010_exploring",26,"University students (US)",26,712564,30,4694,1,10,36,1,1,1.316227
5,"pratte_2010_exploring",26,"University students (US)",26,712565,30,4694,1,11,36,2,1,1.517184
5,"pratte_2010_exploring",26,"University students (US)",26,712568,30,4694,1,14,36,1,1,0.820733
5,"pratte_2010_exploring",26,"University students (US)",26,712569,30,4694,1,15,36,1,1,0.793658
5,"pratte_2010_exploring",26,"University students (US)",26,712571,30,4694,1,17,36,1,1,0.707404
5,"pratte_2010_exploring",26,"University students (US)",26,712573,30,4694,1,19,36,2,1,1.323434
5,"pratte_2010_exploring",26,"University students (US)",26,712576,30,4694,1,22,36,2,1,1.480517
5,"pratte_2010_exploring",26,"University students (US)",26,712577,30,4694,1,23,36,2,1,0.794105
5,"pratte_2010_exploring",26,"University students (US)",26,712579,30,4694,1,25,36,1,1,0.869257
5,"pratte_2010_exploring",26,"University students (US)",26,712580,30,4694,1,26,36,1,1,0.537969
5,"pratte_2010_exploring",26,"University students (US)",26,712584,30,4694,1,30,36,2,1,1.657748
5,"pratte_2010_exploring",26,"University students (US)",26,712585,30,4694,1,31,36,2,1,0.89825
5,"pratte_2010_exploring",26,"University students (US)",26,712587,30,4694,1,33,36,1,1,0.716085
5,"pratte_2010_exploring",26,"University students (US)",26,712589,30,4694,1,35,36,1,1,0.742024
5,"pratte_2010_exploring",26,"University students (US)",26,712590,30,4694,1,36,36,1,1,0.53486
5,"pratte_2010_exploring",26,"University students (US)",26,712592,30,4694,1,38,36,2,1,1.195062
5,"pratte_2010_exploring",26,"University students (US)",26,712593,30,4694,1,39,36,1,1,0.664195
5,"pratte_2010_exploring",26,"University students (US)",26,712594,30,4694,1,40,36,2,1,1.348655
5,"pratte_2010_exploring",26,"University students (US)",26,712595,30,4694,1,41,36,1,1,0.719093
5,"pratte_2010_exploring",26,"University students (US)",26,712596,30,4694,1,42,36,2,1,1.102015
5,"pratte_2010_exploring",26,"University students (US)",26,712597,30,4694,1,43,36,2,1,1.232988
5,"pratte_2010_exploring",26,"University students (US)",26,712599,30,4694,1,45,36,2,1,0.982205
5,"pratte_2010_exploring",26,"University students (US)",26,712600,30,4694,1,46,36,2,1,0.814974
5,"pratte_2010_exploring",26,"University students (US)",26,712601,30,4694,1,47,36,2,1,1.560055
5,"pratte_2010_exploring",26,"University students (US)",26,712602,30,4694,1,48,36,2,1,1.051327
5,"pratte_2010_exploring",26,"University students (US)",26,712603,30,4694,1,49,36,2,1,1.092156
5,"pratte_2010_exploring",26,"University students (US)",26,712604,30,4694,1,50,36,1,1,0.820046
5,"pratte_2010_exploring",26,"University students (US)",26,712606,30,4694,1,52,36,1,1,0.802017
5,"pratte_2010_exploring",26,"University students (US)",26,712607,30,4694,1,53,36,2,1,1.16077
5,"pratte_2010_exploring",26,"University students (US)",26,712608,30,4694,1,54,36,1,1,0.970782
5,"pratte_2010_exploring",26,"University students (US)",26,712612,30,4694,1,58,36,2,1,1.418738
5,"pratte_2010_exploring",26,"University students (US)",26,712613,30,4694,1,59,36,2,1,0.834489
