"datasetid","subject","block","trial","congruency","between","within","accuracy","rt"
4,"1","1",4,"2",1,NA,1,0.428013
4,"1","1",9,"1",1,NA,1,0.45115
4,"1","1",10,"2",1,NA,1,0.412612
4,"1","1",11,"2",1,NA,1,0.632031
4,"1","1",12,"1",1,NA,1,0.434915
4,"1","1",13,"1",1,NA,0,0.42102
4,"1","1",15,"1",1,NA,1,0.403296
4,"1","1",16,"1",1,NA,1,0.478698
4,"1","1",18,"1",1,NA,1,0.348033
4,"1","1",19,"1",1,NA,1,0.426121
4,"1","1",20,"1",1,NA,1,0.484912
4,"1","1",21,"2",1,NA,1,0.493098
4,"1","1",22,"2",1,NA,1,0.477256
4,"1","1",23,"2",1,NA,1,0.534047
4,"1","1",26,"2",1,NA,1,0.465617
4,"1","1",27,"2",1,NA,1,0.595122
4,"1","1",28,"1",1,NA,1,0.503297
4,"1","1",29,"2",1,NA,1,0.590789
4,"1","1",30,"1",1,NA,1,0.434965
4,"1","1",31,"1",1,NA,1,0.701106
4,"1","1",34,"2",1,NA,1,0.51268
4,"1","1",35,"2",1,NA,1,0.448167
4,"1","1",36,"2",1,NA,1,0.506296
4,"1","1",38,"2",1,NA,0,0.375922
4,"1","1",39,"1",1,NA,1,0.524683
4,"1","1",40,"1",1,NA,1,0.523486
4,"1","1",41,"2",1,NA,1,0.506297
4,"1","1",42,"2",1,NA,1,0.416812
4,"1","1",43,"1",1,NA,1,0.35628
4,"1","1",44,"1",1,NA,1,0.465709
4,"1","1",46,"2",1,NA,1,0.552722
4,"1","1",48,"2",1,NA,1,0.47366
4,"1","1",49,"1",1,NA,1,0.466448
4,"1","1",52,"2",1,NA,1,0.475993
4,"1","1",54,"1",1,NA,1,0.380283
4,"1","1",57,"1",1,NA,1,0.541397
4,"1","1",59,"2",1,NA,1,0.578404
4,"1","1",60,"1",1,NA,1,0.35027
4,"1","1",61,"2",1,NA,1,0.556346
4,"1","1",62,"1",1,NA,1,0.545874
4,"1","1",63,"2",1,NA,1,0.368026
4,"1","1",65,"2",1,NA,1,0.530324
4,"1","1",68,"1",1,NA,0,0.493837
4,"1","1",69,"1",1,NA,1,0.485972
4,"1","1",71,"1",1,NA,1,0.476298
4,"1","1",72,"2",1,NA,1,0.541094
4,"1","1",73,"2",1,NA,1,0.507279
4,"1","2",4,"2",1,NA,1,0.677798
4,"1","2",5,"1",1,NA,1,0.494674
4,"1","2",6,"2",1,NA,1,0.774854
4,"1","2",8,"1",1,NA,1,0.521654
4,"1","2",11,"1",1,NA,1,0.570012
4,"1","2",12,"1",1,NA,1,0.406893
4,"1","2",14,"2",1,NA,1,0.439123
4,"1","2",15,"1",1,NA,1,0.448252
4,"1","2",17,"1",1,NA,1,0.552558
4,"1","2",18,"1",1,NA,1,0.502074
4,"1","2",19,"2",1,NA,0,0.47757
4,"1","2",20,"2",1,NA,1,0.630386
4,"1","2",22,"1",1,NA,1,0.493427
4,"1","2",23,"1",1,NA,1,0.669599
4,"1","2",24,"1",1,NA,1,0.669505
4,"1","2",27,"2",1,NA,1,0.685348
4,"1","2",28,"1",1,NA,1,0.525589
4,"1","2",29,"2",1,NA,1,0.484434
4,"1","2",31,"1",1,NA,1,0.54006
4,"1","2",33,"1",1,NA,1,0.780855
4,"1","2",34,"1",1,NA,1,0.63379
4,"1","2",35,"2",1,NA,1,0.508012
4,"1","2",36,"2",1,NA,1,0.55547
4,"1","2",37,"1",1,NA,1,0.57702
4,"1","2",38,"1",1,NA,1,0.549853
4,"1","2",39,"1",1,NA,1,0.436027
4,"1","2",40,"2",1,NA,1,0.605158
4,"1","2",41,"1",1,NA,1,0.480702
4,"1","2",42,"1",1,NA,1,0.673531
4,"1","2",44,"2",1,NA,1,0.553251
4,"1","2",48,"2",1,NA,1,0.56928
4,"1","2",51,"2",1,NA,1,0.54743
4,"1","2",52,"1",1,NA,1,0.609595
4,"1","2",56,"1",1,NA,1,0.507046
4,"1","2",57,"2",1,NA,1,0.569549
4,"1","2",58,"2",1,NA,1,0.558387
4,"1","2",59,"2",1,NA,0,0.435872
4,"1","2",61,"2",1,NA,1,0.590255
4,"1","2",62,"1",1,NA,1,0.55445
4,"1","2",63,"2",1,NA,1,0.575963
4,"1","2",64,"2",1,NA,1,0.620842
4,"1","2",67,"2",1,NA,1,0.671649
4,"1","2",68,"1",1,NA,1,0.464545
4,"1","2",69,"2",1,NA,1,0.538042
4,"1","2",71,"1",1,NA,1,0.481112
4,"1","2",73,"2",1,NA,1,0.394068
4,"1","2",74,"2",1,NA,1,0.605205
4,"1","3",4,"1",1,NA,1,0.682217
4,"1","3",5,"2",1,NA,1,0.506144
4,"1","3",7,"2",1,NA,1,0.556367
4,"1","3",8,"2",1,NA,1,0.561892
4,"1","3",9,"2",1,NA,1,0.447355
4,"1","3",10,"1",1,NA,0,0.465544
4,"1","3",11,"1",1,NA,1,0.699032
4,"1","3",12,"2",1,NA,1,0.723244
4,"1","3",13,"1",1,NA,1,0.410111
4,"1","3",16,"2",1,NA,1,0.686882
4,"1","3",19,"2",1,NA,1,0.478828
4,"1","3",20,"1",1,NA,1,0.527635
4,"1","3",21,"2",1,NA,1,0.566475
4,"1","3",22,"1",1,NA,1,0.547048
4,"1","3",24,"1",1,NA,0,0.407962
4,"1","3",28,"2",1,NA,1,0.645968
4,"1","3",30,"2",1,NA,1,0.613041
4,"1","3",31,"2",1,NA,1,0.487572
4,"1","3",32,"1",1,NA,1,0.511725
4,"1","3",35,"1",1,NA,1,0.532301
4,"1","3",36,"2",1,NA,1,0.435123
4,"1","3",38,"1",1,NA,1,0.426771
4,"1","3",39,"2",1,NA,1,0.637572
4,"1","3",40,"1",1,NA,1,0.462771
4,"1","3",41,"1",1,NA,1,0.528247
4,"1","3",42,"2",1,NA,0,0.599079
4,"1","3",43,"2",1,NA,1,0.435272
4,"1","3",44,"2",1,NA,1,0.685416
4,"1","3",48,"2",1,NA,1,0.580134
4,"1","3",50,"1",1,NA,0,0.507461
4,"1","3",51,"2",1,NA,1,0.874922
4,"1","3",52,"2",1,NA,1,0.691904
4,"1","3",53,"1",1,NA,1,0.548111
4,"1","3",54,"1",1,NA,1,0.442272
4,"1","3",56,"2",1,NA,1,0.489614
4,"1","3",57,"2",1,NA,1,0.601776
4,"1","3",58,"2",1,NA,1,0.541254
4,"1","3",59,"1",1,NA,0,0.523466
4,"1","3",60,"2",1,NA,1,0.642291
4,"1","3",62,"2",1,NA,1,0.612733
4,"1","3",64,"1",1,NA,1,0.525871
4,"1","3",65,"1",1,NA,1,0.467696
4,"1","3",66,"1",1,NA,1,0.572508
4,"1","3",67,"1",1,NA,1,0.409326
4,"1","3",69,"1",1,NA,1,0.410977
4,"1","3",70,"1",1,NA,1,0.48644
4,"1","3",72,"1",1,NA,1,0.37539
4,"1","4",4,"2",1,NA,0,0.592858
4,"1","4",5,"2",1,NA,1,0.629076
4,"1","4",6,"1",1,NA,1,0.415961
4,"1","4",8,"2",1,NA,0,0.587545
4,"1","4",9,"1",1,NA,1,0.575752
4,"1","4",12,"2",1,NA,0,0.649899
4,"1","4",13,"1",1,NA,1,0.548131
4,"1","4",15,"1",1,NA,1,0.458455
4,"1","4",16,"1",1,NA,1,0.531927
4,"1","4",17,"1",1,NA,1,0.498775
4,"1","4",19,"1",1,NA,1,0.372036
4,"1","4",20,"2",1,NA,0,0.552843
4,"1","4",21,"1",1,NA,1,0.510334
4,"1","4",22,"2",1,NA,1,0.58981
4,"1","4",25,"2",1,NA,1,0.526339
4,"1","4",28,"1",1,NA,1,0.542459
4,"1","4",29,"1",1,NA,1,0.49262
4,"1","4",30,"2",1,NA,1,0.564803
4,"1","4",31,"2",1,NA,1,0.490312
4,"1","4",32,"2",1,NA,1,0.514458
4,"1","4",33,"1",1,NA,1,0.537953
4,"1","4",35,"2",1,NA,1,0.552292
4,"1","4",37,"2",1,NA,1,0.420951
4,"1","4",38,"2",1,NA,0,0.487705
4,"1","4",39,"2",1,NA,1,0.471883
4,"1","4",40,"1",1,NA,1,0.520704
4,"1","4",41,"2",1,NA,1,0.575539
4,"1","4",43,"1",1,NA,1,0.550598
4,"1","4",44,"1",1,NA,1,0.459108
4,"1","4",45,"1",1,NA,1,0.484598
4,"1","4",47,"1",1,NA,1,0.407523
4,"1","4",48,"1",1,NA,1,0.426953
4,"1","4",50,"2",1,NA,1,0.579869
4,"1","4",53,"2",1,NA,1,0.466338
4,"1","4",55,"1",1,NA,1,0.415683
4,"1","4",56,"2",1,NA,1,0.419108
4,"1","4",57,"2",1,NA,1,0.565912
4,"1","4",59,"1",1,NA,1,0.410268
4,"1","4",60,"2",1,NA,1,0.333712
4,"1","4",61,"1",1,NA,1,0.620445
4,"1","4",62,"1",1,NA,1,0.526318
4,"1","4",63,"1",1,NA,1,0.501166
4,"1","4",67,"1",1,NA,1,0.438411
4,"1","4",68,"2",1,NA,1,0.432568
4,"1","4",69,"2",1,NA,1,0.443358
4,"1","4",70,"2",1,NA,0,0.477464
4,"1","4",74,"2",1,NA,1,0.451876
4,"2","1",4,"2",1,NA,1,0.66837
4,"2","1",9,"1",1,NA,1,0.836306
4,"2","1",10,"2",1,NA,1,0.654578
4,"2","1",11,"2",1,NA,1,1.480168
4,"2","1",12,"1",1,NA,1,0.569314
4,"2","1",13,"1",1,NA,1,0.662111
4,"2","1",15,"1",1,NA,1,0.628528
4,"2","1",16,"1",1,NA,1,0.863462
4,"2","1",18,"1",1,NA,1,1.42163
4,"2","1",19,"1",1,NA,1,0.816781
4,"2","1",20,"1",1,NA,1,0.636377
4,"2","1",21,"2",1,NA,1,0.614558
4,"2","1",22,"2",1,NA,1,1.066105
4,"2","1",23,"2",1,NA,1,0.651753
4,"2","1",26,"2",1,NA,1,0.664079
4,"2","1",27,"2",1,NA,1,0.77761
4,"2","1",28,"1",1,NA,1,1.190542
4,"2","1",29,"2",1,NA,1,0.770916
4,"2","1",30,"1",1,NA,1,0.567827
4,"2","1",31,"1",1,NA,1,1.723712
4,"2","1",34,"2",1,NA,1,0.679392
4,"2","1",35,"2",1,NA,0,0.688292
4,"2","1",38,"2",1,NA,1,0.903731
4,"2","1",39,"1",1,NA,1,0.607338
4,"2","1",40,"1",1,NA,1,0.826916
4,"2","1",41,"2",1,NA,0,0.613763
4,"2","1",42,"2",1,NA,1,1.29731
4,"2","1",43,"1",1,NA,1,0.617747
4,"2","1",44,"1",1,NA,1,0.564633
4,"2","1",46,"2",1,NA,1,0.816619
4,"2","1",48,"2",1,NA,1,0.834388
4,"2","1",49,"1",1,NA,1,1.228658
4,"2","1",52,"2",1,NA,1,0.696154
4,"2","1",54,"1",1,NA,1,0.569537
4,"2","1",57,"1",1,NA,1,0.856053
4,"2","1",59,"2",1,NA,1,0.555324
4,"2","1",60,"1",1,NA,1,0.74471
4,"2","1",61,"2",1,NA,0,1.03798
4,"2","1",62,"1",1,NA,1,0.624322
4,"2","1",63,"2",1,NA,0,0.851206
4,"2","1",65,"2",1,NA,1,0.677046
4,"2","1",68,"1",1,NA,1,0.671808
4,"2","1",69,"1",1,NA,1,1.127688
4,"2","1",71,"1",1,NA,1,0.608909
4,"2","1",72,"2",1,NA,1,0.964446
4,"2","1",73,"2",1,NA,1,1.186077
4,"2","2",4,"2",1,NA,1,1.025442
4,"2","2",5,"1",1,NA,1,0.564419
4,"2","2",6,"2",1,NA,1,0.9619
4,"2","2",8,"1",1,NA,1,0.729386
4,"2","2",11,"1",1,NA,1,0.636521
4,"2","2",12,"1",1,NA,1,0.686673
4,"2","2",14,"2",1,NA,1,1.424908
4,"2","2",15,"1",1,NA,1,0.796035
4,"2","2",17,"1",1,NA,1,0.655837
4,"2","2",18,"1",1,NA,1,0.649388
4,"2","2",19,"2",1,NA,1,1.38764
4,"2","2",20,"2",1,NA,1,0.784136
4,"2","2",22,"1",1,NA,1,0.930173
4,"2","2",23,"1",1,NA,1,1.201183
4,"2","2",24,"1",1,NA,1,1.220925
4,"2","2",27,"2",1,NA,1,1.307974
4,"2","2",28,"1",1,NA,1,0.794771
4,"2","2",29,"2",1,NA,1,1.247008
4,"2","2",31,"1",1,NA,1,0.775673
4,"2","2",33,"1",1,NA,1,0.963677
4,"2","2",34,"1",1,NA,1,0.617288
4,"2","2",35,"2",1,NA,1,0.683192
4,"2","2",36,"2",1,NA,1,0.588012
4,"2","2",37,"1",1,NA,1,0.752171
4,"2","2",38,"1",1,NA,1,1.053763
4,"2","2",39,"1",1,NA,1,0.775451
4,"2","2",40,"2",1,NA,1,0.636395
4,"2","2",41,"1",1,NA,1,0.966509
4,"2","2",42,"1",1,NA,1,0.732166
4,"2","2",44,"2",1,NA,1,0.802245
4,"2","2",48,"2",1,NA,1,0.8919
4,"2","2",51,"2",1,NA,1,1.349587
4,"2","2",52,"1",1,NA,1,1.100067
4,"2","2",56,"1",1,NA,1,0.900119
4,"2","2",57,"2",1,NA,1,1.059408
4,"2","2",58,"2",1,NA,1,1.341075
4,"2","2",59,"2",1,NA,1,1.283526
4,"2","2",61,"2",1,NA,1,0.572094
4,"2","2",62,"1",1,NA,1,0.816942
4,"2","2",63,"2",1,NA,1,0.67501
4,"2","2",64,"2",1,NA,1,0.76378
4,"2","2",67,"2",1,NA,1,1.563745
4,"2","2",68,"1",1,NA,1,1.057587
4,"2","2",69,"2",1,NA,1,0.73125
4,"2","2",71,"1",1,NA,1,0.971659
4,"2","2",73,"2",1,NA,1,0.625856
4,"2","2",74,"2",1,NA,1,0.956707
4,"2","3",4,"1",1,NA,1,1.017014
4,"2","3",5,"2",1,NA,1,0.947984
4,"2","3",7,"2",1,NA,1,0.675848
4,"2","3",8,"2",1,NA,1,0.780733
4,"2","3",9,"2",1,NA,1,0.929783
4,"2","3",10,"1",1,NA,1,0.791637
4,"2","3",11,"1",1,NA,1,0.883887
4,"2","3",12,"2",1,NA,1,0.636147
4,"2","3",13,"1",1,NA,1,0.51835
4,"2","3",16,"2",1,NA,1,1.686349
4,"2","3",19,"2",1,NA,1,0.537363
4,"2","3",20,"1",1,NA,1,0.815552
4,"2","3",21,"2",1,NA,1,0.915059
4,"2","3",22,"1",1,NA,1,0.65073
4,"2","3",24,"1",1,NA,1,0.762313
4,"2","3",28,"2",1,NA,1,0.884183
4,"2","3",30,"2",1,NA,1,0.794054
4,"2","3",31,"2",1,NA,1,0.662266
4,"2","3",32,"1",1,NA,1,0.710801
4,"2","3",35,"1",1,NA,1,0.591502
4,"2","3",36,"2",1,NA,1,0.731652
4,"2","3",38,"1",1,NA,1,0.652102
4,"2","3",39,"2",1,NA,1,0.861618
4,"2","3",40,"1",1,NA,1,0.582173
4,"2","3",41,"1",1,NA,1,0.619048
4,"2","3",42,"2",1,NA,1,0.765889
4,"2","3",43,"2",1,NA,1,0.835472
4,"2","3",44,"2",1,NA,1,0.685737
4,"2","3",48,"2",1,NA,1,1.12431
4,"2","3",50,"1",1,NA,1,0.823076
4,"2","3",51,"2",1,NA,1,0.585877
4,"2","3",52,"2",1,NA,1,0.678035
4,"2","3",53,"1",1,NA,1,0.862905
4,"2","3",54,"1",1,NA,1,0.792501
4,"2","3",56,"2",1,NA,1,0.897375
4,"2","3",57,"2",1,NA,1,0.633627
4,"2","3",58,"2",1,NA,1,0.81981
4,"2","3",59,"1",1,NA,1,0.630765
4,"2","3",60,"2",1,NA,1,0.657582
4,"2","3",62,"2",1,NA,1,0.584578
4,"2","3",64,"1",1,NA,1,0.561473
4,"2","3",65,"1",1,NA,1,0.838962
4,"2","3",66,"1",1,NA,1,0.609232
4,"2","3",67,"1",1,NA,1,0.564743
4,"2","3",69,"1",1,NA,1,1.206877
4,"2","3",70,"1",1,NA,1,0.690614
4,"2","3",72,"1",1,NA,1,0.464304
4,"2","4",4,"2",1,NA,1,0.565372
4,"2","4",5,"2",1,NA,1,0.658892
4,"2","4",6,"1",1,NA,1,0.54838
